Detections    Latency
1   21.105892   
1   0.897935   
1   2.277013   
1   2.070441   
1   2.235745   
1   7.728743   
1   2.176063   
1   1.965895   
1   1.984386   
1   1.926653   
1   5.339989   
1   1.975913   
1   2.104719   
1   2.119394   
1   1.947611   
1   6.004327   
1   2.139143   
1   1.990957   
1   2.033923   
1   2.021211   
1   5.162910   
1   1.988159   
1   1.978682   
1   1.935949   
1   1.964031   
1   5.843289   
1   2.108383   
1   1.980493   
1   2.084968   
1   2.054985   
1   5.515397   
1   1.929656   
1   2.020271   
1   2.123424   
1   2.021665   
1   5.368748   
1   2.000030   
1   1.931150   
1   1.972872   
1   2.154583   
1   5.693460   
1   2.014325   
1   2.017388   
1   1.936319   
1   2.160842   
1   5.398495   
1   2.011298   
1   2.043994   
1   1.954788   
1   1.912890   
1   5.183471   
1   2.022649   
1   1.934994   
1   1.994046   
1   1.910256   
1   5.295944   
1   2.052334   
1   1.958599   
1   2.111311   
1   1.906868   
1   5.502442   
1   1.927382   
1   1.991723   
1   1.909428   
1   1.907107   
1   5.380474   
1   2.050193   
1   1.937981   
1   1.979325   
1   2.039926   
1   6.435363   
1   2.179315   
1   1.919731   
1   2.128068   
1   2.116932   
1   5.644604   
1   2.108409   
1   2.273895   
1   1.975135   
1   1.977064   
1   5.792352   
1   2.033644   
1   2.066990   
1   1.951273   
1   1.984879   
1   5.343566   
1   2.001850   
1   1.954985   
1   1.954772   
1   1.969613   
1   5.621249   
1   1.989050   
1   1.937911   
1   1.962523   
1   1.987530   
1   5.950151   
1   2.011859   
1   2.215717   
1   1.971220   
1   1.954970   
1   5.336789   
1   1.977795   
1   1.995558   
1   1.989583   
1   1.896226   
1   5.264375   
1   1.979589   
1   1.913058   
1   2.116224   
1   2.115021   
1   5.399828   
1   1.917000   
1   1.945485   
1   1.975544   
1   2.078296   
1   5.970497   
1   2.117484   
1   2.001080   
1   1.930011   
1   2.061063   
1   5.295965   
1   1.910094   
1   1.971750   
1   1.963907   
1   2.003623   
1   5.514948   
1   1.960241   
1   1.917771   
1   2.008949   
1   1.897195   
1   5.430887   
1   2.118362   
1   1.949323   
1   1.930642   
1   1.991092   
1   6.967243   
1   1.949024   
1   1.993975   
2   2.238276   
2   2.234251   
2   6.575833   
2   2.934474   
2   3.015985   
2   6.347369   
2   3.036606   
2   6.312034   
2   2.998430   
2   2.935082   
2   6.989163   
2   3.083701   
2   6.556627   
2   4.951666   
2   2.966584   
2   7.366631   
2   3.084398   
